Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Assignee,Labels
Story,"US-EP2-03 — Offline Ready confirmation on route card","USER STORY: As a company driver, I want to see a clear confirmation that my route is ready for offline navigation before I start driving so that I can depart with confidence even if I expect to lose signal.\n\nSCOPE: Persistent Offline Ready badge on route card confirming bundle is fully downloaded and valid. Final confirmed state — distinct from download progress indicator (US-EP2-02). Must be visible before driver taps Start navigation.\n\nPRD: FR-2\n\nDEPENDENCIES: US-EP2-02 (download must complete before this state appears).\n\nACCEPTANCE CRITERIA:\n- Given bundle fully downloaded: When driver views route card, Then Offline Ready badge persistently visible without requiring interaction.\n- Given route shown as Offline Ready: When driver starts navigation with no connectivity, Then offline navigation begins successfully using downloaded bundle.\n- Given cached bundle becomes stale (route updated by dispatcher): When new bundle not yet complete, Then Offline Ready badge removed and replaced with progress state until new bundle is complete.\n\nDESIGN: Component update to route card. Must be distinguishable from progress state. High contrast. No tap required to display. Figma: TBD.","","Offline Route Download Pipeline",High,,"initiative_offline-navigation-mode source_cursor ep_EP-2 fr_FR-2 prio_must"
Story,"US-EP2-04 — Download failure state and retry","USER STORY: As a company driver, I want to be clearly informed if my offline route download failed so that I can take action before I lose signal rather than discovering the problem mid-trip.\n\nSCOPE: Route card shows clear error state with retry option on download failure. Error message must be actionable in plain language. Must not block Start navigation — online navigation always available.\n\nPRD: FR-2\n\nDEPENDENCIES: US-EP2-01, US-EP2-02.\n\nACCEPTANCE CRITERIA:\n- Given download fails due to network error: When download fails, Then route card shows failure state with one-tap retry option within 5 seconds.\n- Given download fails due to insufficient storage: When driver sees error, Then message includes plain-language guidance to free up storage.\n- Given driver taps Retry with connectivity: When retry initiated, Then download restarts and progress indicator shown.\n- Given download failed: When driver taps Start navigation, Then online navigation starts normally — failure does not block the trip.\n\nDESIGN: Component update to route card. Plain language error messages. Large tap target for retry — accessible to gloved hands. No technical error codes visible to drivers. Figma: TBD.","","Offline Route Download Pipeline",High,,"initiative_offline-navigation-mode source_cursor ep_EP-2 fr_FR-2 prio_must"
Story,"US-EP2-05 — Cache invalidation on route cancellation or reassignment","USER STORY: As a company driver, I want stale offline route data to be automatically removed from my device when my route changes so that I never accidentally navigate using an outdated bundle.\n\nSCOPE: Push invalidation signal on route cancellation/reassignment removes stale bundle from device within 60 seconds. If driver actively navigating cancelled route offline, notification queued for next safe moment. Automated cleanup 24h after route completion.\n\nPRD: FR-6\n\nDEPENDENCIES: US-EP2-01 (download pipeline). Backend cache invalidation push signal. PLATFORM storage management.\n\nACCEPTANCE CRITERIA:\n- Given driver has offline bundle for a route: When dispatcher cancels route, Then cache invalidation signal pushed and bundle removed from local storage within 60 seconds.\n- Given driver has offline bundle: When dispatcher reassigns route to different driver, Then original driver bundle invalidated and removed; new driver begins fresh download.\n- Given driver has completed route: When 24 hours have passed since completion, Then offline bundle automatically deleted.\n- Given driver actively navigating offline: When dispatcher cancels route mid-trip, Then notification queued and displayed at next moment driver is not in active manoeuvre.","","Offline Route Download Pipeline",High,,"initiative_offline-navigation-mode source_cursor ep_EP-2 fr_FR-6 prio_must"
Story,"US-EP2-06 — Manual offline storage management","USER STORY: As a company driver, I want to be able to manually clear my offline route data from app settings so that I can free up device storage when I need to.\n\nSCOPE: Clear offline data option in driver app settings removes all cached route bundles. Does not affect active trip navigation. Secondary fallback — auto-invalidation (US-EP2-05) is primary mechanism.\n\nPRD: FR-2\n\nDEPENDENCIES: US-EP2-01, US-EP2-05.\n\nACCEPTANCE CRITERIA:\n- Given driver has offline bundles downloaded: When they open app settings and tap Offline data, Then total offline storage used (in MB) and Clear offline data option are visible.\n- Given driver taps Clear offline data and confirms: When deletion confirmed, Then all cached bundles removed and storage usage returns to zero.\n- Given driver clears offline data: When previously downloaded route viewed, Then Offline Ready badge removed and route shows no offline status.\n\nDESIGN: Existing screen update (app settings — add Offline data section). Show storage used before deletion. Confirmation step before deleting. Must not delete data for routes in active navigation. Figma: TBD.","","Offline Route Download Pipeline",Medium,,"initiative_offline-navigation-mode source_cursor ep_EP-2 fr_FR-2 prio_should"
Story,"US-EP3-01 — Three-state connectivity status indicator","USER STORY: As a company driver, I want to see a clear always-visible indicator of my connectivity and offline route status during navigation so that I always know whether my offline route is protecting me.\n\nSCOPE: Three states: (1) Online — visually subdued. (2) Offline with route downloaded — positive reassuring confirmation. (3) Offline with no downloaded route — warning state. Persistent during navigation, non-interactive, legible in direct sunlight. Research: drivers operate under cognitive load and cannot look away from the road — state must communicate in under 1 second.\n\nPRD: FR-5\n\nDEPENDENCIES: US-EP1-02 (real connectivity states from engine). EP-3 design must be complete before implementation.\n\nACCEPTANCE CRITERIA:\n- Given driver navigating with live connection: When navigation active, Then indicator in state 1 (online) — visually subdued.\n- Given driver navigating offline with bundle active: When navigation active, Then indicator in state 2 (offline + downloaded) — clearly visible and reassuring.\n- Given driver loses connectivity without downloaded bundle: When offline, Then indicator transitions to state 3 (offline no route) — warning state distinguishable from state 2.\n- Given device transitions from offline to online mid-trip: When connectivity restored, Then indicator returns to state 1 within 10 seconds.\n- Given any state active: When viewed in simulated direct sunlight, Then passes WCAG AA contrast ratio.\n\nDESIGN: New component (persistent navigation status indicator). Must not overlap turn arrows, road names, or speed limit display. Minimum font and icon size per driver app conventions. WCAG AA contrast required. No driver interaction at any time. Figma: TBD.","","Driver Offline UX & Status Layer",High,,"initiative_offline-navigation-mode source_cursor ep_EP-3 fr_FR-5 prio_must"
Story,"US-EP3-02 — Sub-2GB RAM device performance warning","USER STORY: As a company driver on a low-spec Android device, I want to be warned if my device may experience degraded offline navigation performance so that I can make an informed decision before relying on offline mode for a critical trip.\n\nSCOPE: One-time warning on first offline navigation attempt on devices with <2GB RAM. Must not block access to offline navigation. Research: many CEE drivers use budget Android devices with <2GB RAM.\n\nPRD: FR-5\n\nDEPENDENCIES: US-EP1-02 (offline navigation session must exist). Device RAM detection logic.\n\nACCEPTANCE CRITERIA:\n- Given driver device has <2GB RAM: When driver starts first offline session, Then one-time performance warning displayed before navigation starts.\n- Given driver dismisses warning: When they start subsequent offline sessions, Then warning not shown again on that device.\n- Given driver dismisses warning and proceeds: When offline navigation starts, Then navigation starts normally — warning does not block or delay session.\n- Given driver device has >=2GB RAM: When they start offline session, Then no performance warning displayed.\n\nDESIGN: Component update (one-time warning modal or banner before first offline session on qualifying devices). Auto-dismiss after first occurrence. Plain language — no technical terms like RAM. Must not block Start navigation button. Figma: TBD.","","Driver Offline UX & Status Layer",High,,"initiative_offline-navigation-mode source_cursor ep_EP-3 fr_FR-5 prio_must"
Story,"US-EP3-03 — Mid-trip route invalidation notification","USER STORY: As a company driver navigating offline, I want to be notified if my route has been cancelled or changed while I am driving so that I can contact my dispatcher at the next safe opportunity.\n\nSCOPE: Non-blocking in-app notification when dispatcher cancels or reassigns route while driver is navigating offline. Does not interrupt active manoeuvre. Does not stop navigation. Push signal comes from US-EP2-05 — this story covers in-app presentation logic and UI only.\n\nPRD: FR-5, FR-6\n\nDEPENDENCIES: US-EP2-05 (cache invalidation push signal). US-EP3-01 (indicator state may update).\n\nACCEPTANCE CRITERIA:\n- Given driver navigating offline and dispatcher cancels route: When driver is not within 200m of a turn instruction, Then non-blocking banner notification appears within 60 seconds of cancellation signal reaching device.\n- Given notification appears: When 8 seconds pass without driver interaction, Then notification auto-dismisses.\n- Given driver within 200m of a turn: When route invalidation signal arrives, Then notification held and displayed after manoeuvre is complete.\n- Given driver taps notification: When tapped, Then taken to route card — navigation does not stop.\n\nDESIGN: Component update (in-navigation non-blocking notification banner). Must not overlap turn arrow, road name, or speed limit display. No modal. Auto-dismisses after 8-10 seconds. Large legible text for brief glance. Must not appear during active manoeuvre (within 200m of turn). Figma: TBD.","","Driver Offline UX & Status Layer",High,,"initiative_offline-navigation-mode source_cursor ep_EP-3 fr_FR-5 fr_FR-6 prio_must"
Story,"US-EP4-01 — Offline session event emission","USER STORY: As a product team, I need the driver app to emit structured events at each offline navigation session state transition so that Offline Session Success Rate can be accurately calculated.\n\nSCOPE: Three events required: offline_session_started (navigation begins with zero connectivity), offline_session_completed (driver reaches destination), offline_session_aborted (system-forced exit before destination — NOT voluntary driver exit). Each event includes: driver ID, fleet ID, device model, RAM tier (>=2GB vs <2GB), route ID, timestamp, session duration.\n\nPRD: FR-8\n\nDEPENDENCIES: US-EP1-02 (offline navigation session must exist). Event schema agreement with Data (INT-02 must be complete before implementation begins).\n\nACCEPTANCE CRITERIA:\n- Given driver starts navigation with zero connectivity: When session begins, Then offline_session_started event emitted within 5 seconds containing driver ID, fleet ID, device model, RAM tier, route ID, timestamp.\n- Given driver reaches destination: When destination confirmed, Then offline_session_completed event emitted with session ID and duration.\n- Given session ends due to system failure: When session ends abnormally, Then offline_session_aborted event emitted with session ID, abort reason code, and duration at time of abort.\n- Given driver voluntarily exits offline navigation: When driver taps exit, Then NO offline_session_aborted event is emitted.\n\nOPEN QUESTION: Is voluntary exit reliably distinguishable from system abort in existing session lifecycle? If not, Mobile must add explicit abort_type field. Must be resolved before implementation — incorrect schema makes all Phase 1 KPI data unreliable.","","Offline Observability & Instrumentation",High,,"initiative_offline-navigation-mode source_cursor ep_EP-4 fr_FR-8 prio_must"
Story,"US-EP4-02 — Offline Session Success Rate dashboard","USER STORY: As a product manager, I need an internal dashboard showing Offline Session Success Rate segmented by fleet, driver, and device so that I can monitor Phase 1 performance and validate the 90% target hypothesis.\n\nSCOPE: Dashboard shows Offline Session Success Rate (% = completed / (completed + aborted)), session volume (started/completed/aborted), segmented views by fleet/driver/device RAM tier. Daily refresh acceptable. Internal product and CS team access. Must be live before German fleet pilot starts.\n\nPRD: FR-8\n\nDEPENDENCIES: US-EP4-01 (events must be emitted). Backend event ingestion API.\n\nACCEPTANCE CRITERIA:\n- Given offline session events being emitted: When Data pipeline ingests events, Then dashboard shows Offline Session Success Rate updated within 24 hours.\n- Given dashboard open: When sessions segmented by fleet, Then each fleet individual success rate visible with session volume.\n- Given dashboard open: When sessions segmented by device RAM tier, Then >=2GB and <2GB segments shown separately.\n- Given controlled offline test session run successfully: When dashboard checked following day, Then test session appears as completed and counted in success rate.","","Offline Observability & Instrumentation",High,,"initiative_offline-navigation-mode source_cursor ep_EP-4 fr_FR-8 prio_must"
Story,"US-EP4-03 — Per-participant pilot monitoring view","USER STORY: As a Customer Success manager, I need a per-driver view of offline session outcomes during the German fleet pilot so that I can monitor whether the pilot meets renewal acceptance criteria and identify drivers having issues.\n\nSCOPE: Per-participant view showing each pilot driver name/ID, offline sessions started/completed/aborted, individual Offline Session Success Rate. CS-accessible. Daily refresh acceptable. Must be live before pilot day one.\n\nPRD: FR-8, FR-7\n\nDEPENDENCIES: US-EP4-02 (dashboard must exist). EP-5 pilot cohort must be configured so pilot driver IDs are known.\n\nACCEPTANCE CRITERIA:\n- Given German fleet pilot cohort configured: When CS monitor opens per-participant view, Then each of 10 pilot drivers listed with offline session count (started/completed/aborted) and individual success rate.\n- Given pilot driver completes offline session: When dashboard checked following day, Then session appears under that driver row.\n- Given pilot driver has zero sessions in pilot window: When CS monitor views dashboard, Then driver appears with zero count and is not omitted from the view.","","Offline Observability & Instrumentation",High,,"initiative_offline-navigation-mode source_cursor ep_EP-4 fr_FR-8 fr_FR-7 prio_must"
Story,"US-EP5-01 — Fleet-level feature flag for pilot cohort","USER STORY: As a Customer Success manager, I need to enable offline navigation for specific driver accounts within a single fleet without affecting any other users so that I can run the German fleet controlled pilot.\n\nSCOPE: Fleet-level or driver-level feature flag enabling offline nav for defined driver accounts. CS-operable without engineering deployment. Supports adding/removing drivers without new app release. Independent of Growth-tier eligibility gate (US-EP5-02).\n\nPRD: FR-7\n\nDEPENDENCIES: EP-1 through EP-4 complete before pilot can begin. Feature flag infrastructure must support driver-level granularity (open question).\n\nACCEPTANCE CRITERIA:\n- Given CS adds driver to pilot cohort: When driver opens app, Then offline navigation features active for that driver.\n- Given driver is in pilot cohort and dispatcher assigns route: When route assigned, Then auto-triggered download initiates for that driver.\n- Given driver removed from pilot cohort: When they open app, Then offline navigation features no longer visible or active.\n- Given 10 pilot drivers in cohort: When any user outside cohort opens app, Then they see no offline navigation features.\n\nOPEN QUESTION: Does existing feature flag infrastructure support driver-level granularity? If only fleet-level supported, confirm with German fleet account team whether enabling offline for all their drivers during pilot is acceptable.","","Pilot Enablement & GA Readiness",High,,"initiative_offline-navigation-mode source_cursor ep_EP-5 fr_FR-7 prio_must"
Story,"US-EP5-02 — Growth-tier eligibility gate enforcement","USER STORY: As a product manager, I need offline navigation to be accessible only to Growth-tier fleet accounts with employed company drivers so that the feature is correctly positioned as a Growth-tier differentiator.\n\nSCOPE: Eligibility conditions: (1) driver linked fleet is Growth or Scale tier. (2) driver account type is company driver (employed) — not owner-operator. Gate enforced server-side (API rejects ineligible bundle requests) and client-side (UI elements not rendered for ineligible users). Starter-tier and owner-operator accounts see no offline features.\n\nPRD: FR-7\n\nDEPENDENCIES: Account tier and driver type available in driver app auth context. US-EP5-01 pilot flag operates independently of this gate.\n\nACCEPTANCE CRITERIA:\n- Given driver linked to Growth-tier fleet with company driver account type: When driver opens app, Then offline navigation features available.\n- Given driver linked to Starter-tier fleet: When driver opens app, Then no offline navigation UI visible and no bundle downloads triggered.\n- Given driver has owner-operator account type: When driver opens app, Then no offline navigation UI visible regardless of fleet tier.\n- Given ineligible driver device attempts bundle download API request: When API receives request, Then request rejected with appropriate error code — no bundle served.\n- Given US-EP5-02 deployed to staging: When Starter-tier and owner-operator test accounts tested, Then both confirm zero visibility of offline features (mandatory exit criterion before pilot launch).","","Pilot Enablement & GA Readiness",High,,"initiative_offline-navigation-mode source_cursor ep_EP-5 fr_FR-7 prio_must"
Story,"US-EP5-03 — Post-pilot GA release configuration","USER STORY: As a product manager, I need to release offline navigation to all eligible Growth-tier company driver accounts after the German fleet pilot sign-off so that the commercial obligation is fulfilled and the feature reaches its full audience.\n\nSCOPE: After German fleet pilot meets written acceptance criteria and sign-off obtained, offline navigation released to GA for all Growth-tier fleet accounts with company driver account types. GA release must be server-side configuration — no new app binary required.\n\nPRD: FR-7\n\nDEPENDENCIES: US-EP5-01 (pilot complete and signed off). US-EP5-02 (eligibility gate live). EP-4 dashboard showing pilot session data. Written renewal sign-off from German fleet account team.\n\nACCEPTANCE CRITERIA:\n- Given pilot completed minimum 2-week window and written criteria met: When Sergio Barguilla approves GA release, Then server-side configuration updated and offline navigation available to all Growth-tier company driver accounts.\n- Given GA configuration live: When Growth-tier company driver opens app, Then offline navigation features available without app update required.\n- Given GA configuration live: When Starter-tier driver or owner-operator opens app, Then no offline navigation features visible — eligibility gate remains enforced.\n- Given GA configuration deployed: When Offline Session Success Rate dashboard checked 24h post-GA, Then session events from non-pilot Growth-tier drivers appearing confirming successful rollout.","","Pilot Enablement & GA Readiness",High,,"initiative_offline-navigation-mode source_cursor ep_EP-5 fr_FR-7 prio_must"
Task,"NFR-01 — CFR monitoring on sub-2GB RAM devices post-launch","STATEMENT: After Phase 1 GA release, Crash-Free Rate on driver app sessions from devices with <2GB RAM must be monitored separately from overall CFR. If sub-2GB RAM CFR drops below 98.5% in any weekly review, a device-specific mitigation must be investigated and shipped within one sprint.\n\nRELATED TO: EP-1, EP-3, FR-3\n\nACCEPTANCE CRITERIA:\n- Given Phase 1 GA live: When crash monitoring data reviewed weekly, Then <2GB RAM device CFR reported as a separate segment from >=2GB CFR.\n- Given sub-2GB RAM CFR drops below 98.5%: When threshold breached, Then engineering lead notified and mitigation scoped for following sprint.",,High,,"initiative_offline-navigation-mode source_cursor ep_EP-1 ep_EP-3 prio_must"
Task,"NFR-02 — Offline bundle download performance monitoring","STATEMENT: Offline route bundle download time must be measured and reported in the first 4 weeks post-GA. If p75 download time for a 500km CEE route exceeds 3 minutes on a 4G connection, a compression or progressive download investigation must be initiated.\n\nRELATED TO: EP-2, FR-2\n\nACCEPTANCE CRITERIA:\n- Given GA live and auto-triggered downloads occurring: When download performance data reviewed after 4 weeks, Then p50 and p75 download completion times available segmented by connection type (4G, 3G, Wi-Fi).\n- Given p75 download time exceeds 3 minutes for representative route: When threshold breached, Then Mobile and Backend leads initiate bundle compression investigation in following sprint.",,Medium,,"initiative_offline-navigation-mode source_cursor ep_EP-2 prio_should"
Task,"INT-01 — Offline bundle format contract (Mobile and Backend)","STATEMENT: Before US-EP1-02 and US-EP2-01 can be built in parallel, Mobile and Backend must agree and publish a formal offline bundle format contract covering structure, versioning, field definitions, and validation rules. Must be produced at end of Sprint 1.\n\nDEPENDS ON: US-EP1-01 (Backend defines format). Mobile engineering lead review and sign-off required.\n\nACCEPTANCE CRITERIA:\n- Given Sprint 1 complete: When bundle format spec reviewed by both Mobile and Backend leads, Then versioned spec document published to initiative folder and both leads have confirmed it.\n- Given spec published: When US-EP1-02 and US-EP2-01 begin, Then both stories reference the agreed spec — no independent assumptions about bundle structure.","","Offline Routing Engine Foundation",High,,"initiative_offline-navigation-mode source_cursor ep_EP-1 ep_EP-2 prio_must"
